"GEO_ID","NAME","P1_001N","P1_001NA",
"Geography","Geographic Area Name"," !!Total","Annotation of  !!Total",
"1400000US26099206700","Census Tract 2067; Macomb County; Michigan","3767","null",
"1400000US26099210000","Census Tract 2100; Macomb County; Michigan","4313","null",
"1400000US26099211000","Census Tract 2110; Macomb County; Michigan","5875","null",
"1400000US26099212000","Census Tract 2120; Macomb County; Michigan","5318","null",
"1400000US26099214000","Census Tract 2140; Macomb County; Michigan","3051","null",
"1400000US26099214500","Census Tract 2145; Macomb County; Michigan","4410","null",
"1400000US26099215000","Census Tract 2150; Macomb County; Michigan","5564","null",
"1400000US26099215201","Census Tract 2152.01; Macomb County; Michigan","5947","null",
"1400000US26099215202","Census Tract 2152.02; Macomb County; Michigan","2826","null",
"1400000US26099215300","Census Tract 2153; Macomb County; Michigan","4329","null",
"1400000US26099215500","Census Tract 2155; Macomb County; Michigan","7595","null",
"1400000US26099216000","Census Tract 2160; Macomb County; Michigan","3780","null",
"1400000US26099217000","Census Tract 2170; Macomb County; Michigan","2550","null",
"1400000US26099218001","Census Tract 2180.01; Macomb County; Michigan","6097","null",
"1400000US26099218002","Census Tract 2180.02; Macomb County; Michigan","3472","null",
"1400000US26099220002","Census Tract 2200.02; Macomb County; Michigan","4524","null",
"1400000US26099220003","Census Tract 2200.03; Macomb County; Michigan","5218","null",
"1400000US26099220004","Census Tract 2200.04; Macomb County; Michigan","2375","null",
"1400000US26099221100","Census Tract 2211; Macomb County; Michigan","7066","null",
"1400000US26099221200","Census Tract 2212; Macomb County; Michigan","5904","null",
"1400000US26099221500","Census Tract 2215; Macomb County; Michigan","1257","null",
"1400000US26099221800","Census Tract 2218; Macomb County; Michigan","5228","null",
"1400000US26099222103","Census Tract 2221.03; Macomb County; Michigan","2824","null",
"1400000US26099222104","Census Tract 2221.04; Macomb County; Michigan","3222","null",
"1400000US26099222105","Census Tract 2221.05; Macomb County; Michigan","4807","null",
"1400000US26099222106","Census Tract 2221.06; Macomb County; Michigan","4163","null",
"1400000US26099222500","Census Tract 2225; Macomb County; Michigan","3922","null",
"1400000US26099222800","Census Tract 2228; Macomb County; Michigan","3119","null",
"1400000US26099223401","Census Tract 2234.01; Macomb County; Michigan","7516","null",
"1400000US26099223402","Census Tract 2234.02; Macomb County; Michigan","5185","null",
"1400000US26099223500","Census Tract 2235; Macomb County; Michigan","1729","null",
"1400000US26099223801","Census Tract 2238.01; Macomb County; Michigan","4119","null",
"1400000US26099223802","Census Tract 2238.02; Macomb County; Michigan","8272","null",
"1400000US26099223803","Census Tract 2238.03; Macomb County; Michigan","3509","null",
"1400000US26099223901","Census Tract 2239.01; Macomb County; Michigan","5235","null",
"1400000US26099223902","Census Tract 2239.02; Macomb County; Michigan","3687","null",
"1400000US26099224001","Census Tract 2240.01; Macomb County; Michigan","9049","null",
"1400000US26099224002","Census Tract 2240.02; Macomb County; Michigan","5154","null",
"1400000US26099224101","Census Tract 2241.01; Macomb County; Michigan","4430","null",
"1400000US26099224102","Census Tract 2241.02; Macomb County; Michigan","4160","null",
"1400000US26099224201","Census Tract 2242.01; Macomb County; Michigan","3858","null",
"1400000US26099224202","Census Tract 2242.02; Macomb County; Michigan","5767","null",
"1400000US26099224300","Census Tract 2243; Macomb County; Michigan","4809","null",
"1400000US26099224400","Census Tract 2244; Macomb County; Michigan","4985","null",
"1400000US26099224500","Census Tract 2245; Macomb County; Michigan","3823","null",
"1400000US26099224600","Census Tract 2246; Macomb County; Michigan","6376","null",
"1400000US26099225100","Census Tract 2251; Macomb County; Michigan","3496","null",
"1400000US26099225200","Census Tract 2252; Macomb County; Michigan","6826","null",
"1400000US26099225300","Census Tract 2253; Macomb County; Michigan","4443","null",
